order_id,product_id,quantity,discount_pct
1,35,3,0.1
1,17,1,0.25
1,50,3,0.1
2,66,2,0.1
2,22,1,0.0
2,89,2,0.05
2,70,2,0.2
2,78,2,0.0
2,52,2,0.15
3,34,1,0.15
3,80,4,0.0
4,1,1,0.0
4,10,3,0.15
4,14,2,0.0
4,43,3,0.05
4,38,3,0.0
4,51,1,0.0
5,50,1,0.0
5,66,2,0.1
5,44,2,0.0
6,7,2,0.0
6,26,2,0.0
6,6,1,0.15
7,12,1,0.0
7,78,1,0.15
7,5,2,0.1
8,12,1,0.2
8,14,3,0.25
9,61,2,0.1
9,50,1,0.0
9,57,1,0.0
9,46,5,0.05
10,83,2,0.0
10,70,1,0.0
10,9,1,0.0
11,66,2,0.0
11,21,3,0.0
11,37,2,0.05
11,50,2,0.05
11,52,1,0.15
12,66,1,0.0
13,97,2,0.05
13,50,1,0.0
14,8,4,0.0
14,22,1,0.0
14,41,2,0.0
14,17,2,0.05
15,2,2,0.1
15,82,2,0.0
15,59,3,0.1
15,98,3,0.0
15,29,2,0.0
16,1,1,0.0
16,100,1,0.15
16,78,1,0.0
17,87,3,0.0
17,7,2,0.25
17,45,2,0.2
18,16,2,0.0
18,87,3,0.0
18,75,2,0.0
19,93,4,0.0
19,88,1,0.05
19,49,1,0.15
19,68,1,0.1
20,100,1,0.1
20,59,1,0.0
20,80,5,0.1
21,37,1,0.0
21,62,2,0.05
21,86,4,0.0
22,9,3,0.2
22,51,1,0.0
23,92,3,0.2
23,27,4,0.2
23,86,1,0.05
23,34,1,0.15
24,74,2,0.0
24,52,1,0.15
25,82,2,0.0
25,50,4,0.0
25,37,2,0.0
26,19,1,0.0
26,100,4,0.05
26,67,3,0.1
27,5,2,0.1
28,51,2,0.0
29,3,2,0.05
29,41,1,0.0
29,12,2,0.1
30,90,4,0.15
30,93,1,0.1
30,26,1,0.0
30,31,1,0.0
30,41,3,0.05
31,15,3,0.0
31,94,5,0.0
31,1,4,0.0
32,70,4,0.05
33,80,4,0.1
33,95,2,0.0
33,30,1,0.05
33,7,2,0.15
34,82,2,0.0
34,55,3,0.0
35,33,4,0.2
35,99,5,0.15
35,59,5,0.1
35,1,-1,0.1
36,26,2,0.0
36,78,2,0.25
36,58,1,0.0
37,94,2,0.0
37,46,4,0.05
37,83,4,0.0
37,4,3,0.0
37,97,2,0.05
37,14,1,0.0
38,82,2,0.0
38,21,2,0.15
38,59,2,0.1
