order_id,customer_id,store_id,order_date,status
1,417,9,2023-04-14,pending
2,285,13,2023-04-28,completed
3,410,5,2022-10-26,completed
4,91,5,2022-01-20,pending
5,274,16,2024-11-24,completed
6,288,2,2023-05-29,completed
7,354,7,2022-07-22,pending
8,244,4,2023-06-05,completed
9,134,18,2023-11-17,returned
10,177,4,2023-06-12,completed
11,296,18,2023-02-12,completed
12,182,17,2023-08-06,completed
13,456,20,2024-07-04,completed
14,324,6,2024-08-07,cancelled
15,216,19,2023-11-22,completed
16,41,8,2022-05-27,completed
17,335,9,2023-10-11,returned
18,139,12,2024-03-20,cancelled
19,495,6,2024-12-02,completed
20,65,9,2022-02-17,cancelled
21,108,4,2022-06-13,completed
22,480,18,2022-05-11,completed
23,395,3,2022-02-23,completed
24,317,13,2023-06-22,completed
25,127,15,2023-04-15,cancelled
26,68,6,2022-09-16,completed
27,340,11,2022-03-13,pending
28,240,18,2024-09-02,completed
29,70,18,2024-06-30,completed
30,324,19,2024-07-24,completed
31,328,10,2024-12-08,completed
32,277,3,2024-09-13,completed
33,188,5,2023-09-23,completed
34,1,5,2022-01-22,completed
35,241,16,2023-08-11,pending
36,,14,2024-09-04,pending
37,306,1,2023-08-23,returned
38,97,18,2024-02-05,completed
39,128,13,2024-03-19,pending
40,113,14,2024-02-14,cancelled
41,265,20,2023-05-06,pending
42,146,18,2023-07-11,pending
43,212,3,2023-07-05,completed
44,149,15,2022-10-07,returned
45,140,16,2024-07-16,completed
46,10,18,2023-10-19,completed
47,498,9,2023-01-16,completed
48,,3,2024-06-16,completed
49,253,14,2022-01-31,completed
50,191,2,2024-10-17,completed
51,432,5,2022-06-14,completed
52,398,18,2023-06-30,completed
53,99,9,2023-01-07,pending
54,425,8,2024-02-21,completed
55,127,2,2024-06-26,completed
56,377,17,2024-08-01,cancelled
57,243,10,2023-03-03,completed
58,323,18,2022-11-21,returned
59,130,10,2022-09-08,completed
60,455,7,2024-01-09,completed
61,325,1,2023-04-29,completed
62,300,8,2023-07-20,completed
63,298,16,2022-03-28,cancelled
64,191,8,2022-11-14,completed
65,47,11,2024-10-20,pending
66,31,5,2022-05-03,cancelled
67,65,11,2022-08-08,returned
68,413,7,2023-12-13,completed
69,184,9,2024-02-13,completed
70,362,10,2024-09-20,returned
71,98,18,2024-09-30,completed
72,375,20,2023-10-25,pending
73,36,15,2022-11-25,completed
74,278,1,2023-06-24,pending
75,195,1,2024-11-02,returned
76,398,11,2024-01-16,cancelled
77,338,13,2022-05-10,completed
78,350,18,2024-12-09,completed
79,166,11,2023-08-03,completed
80,268,2,2022-07-17,pending
81,92,7,2022-09-23,completed
82,99,19,2024-09-21,cancelled
83,337,20,2024-03-06,cancelled
84,26,20,2023-06-09,cancelled
85,7,7,2022-05-26,cancelled
86,476,3,2024-10-03,completed
87,185,14,2022-05-05,pending
88,407,20,2024-01-26,completed
89,21,10,2024-12-19,completed
90,492,4,2023-03-19,cancelled
91,273,7,2023-04-19,returned
92,292,6,2023-05-25,returned
93,383,19,2024-04-30,completed
94,360,4,2024-07-28,completed
95,282,11,2023-01-05,cancelled
96,274,15,2022-11-20,completed
97,282,11,2023-10-08,pending
98,212,14,2024-02-01,pending
99,312,18,2023-10-25,completed
100,393,9,2024-02-08,completed
101,230,1,2024-07-15,cancelled
102,146,17,2022-03-12,completed
103,4,8,2023-09-11,completed
104,12,9,2023-10-07,returned
105,285,19,2024-11-13,completed
106,20,5,2022-07-13,completed
107,188,8,2023-06-27,completed
108,416,19,2023-06-09,completed
109,376,11,2023-03-22,pending
110,89,19,2024-09-15,pending
111,305,2,2022-07-15,cancelled
112,41,11,2024-02-21,completed
113,214,4,2024-06-08,pending
114,383,20,2023-04-10,completed
115,28,2,2024-02-23,completed
116,168,8,2022-11-03,completed
117,345,13,2022-04-14,completed
118,47,10,2024-10-30,pending
119,76,3,2024-03-18,completed
120,281,3,2022-04-11,completed
121,223,5,2024-10-24,pending
122,247,16,2022-10-04,completed
123,288,17,2023-02-06,completed
124,37,14,2023-05-12,completed
125,58,14,2022-07-03,completed
126,98,20,2023-12-15,cancelled
127,395,12,2022-02-19,returned
128,320,2,2024-06-24,pending
129,103,5,2023-04-24,pending
130,58,8,2022-06-25,returned
131,445,10,2022-10-30,completed
132,356,10,2023-12-05,completed
133,12,18,2024-08-22,completed
134,280,9,2023-02-22,returned
135,319,5,2024-09-16,cancelled
136,193,17,2022-02-07,completed
137,88,7,2023-06-08,pending
138,28,1,2023-07-10,completed
139,339,12,2024-03-06,pending
140,10,13,2022-08-09,completed
141,261,4,2024-02-19,completed
142,444,3,2024-09-19,completed
143,257,18,2023-02-12,cancelled
144,21,17,2022-02-14,completed
145,251,6,2023-11-15,completed
146,351,10,2023-12-12,completed
147,142,9,2024-10-23,completed
148,484,9,2022-03-02,completed
149,175,5,2022-11-07,completed
150,267,20,2024-02-22,pending
151,214,5,2023-04-11,completed
152,466,15,2023-10-02,returned
153,106,19,2022-09-27,returned
154,442,17,2023-02-19,completed
155,466,5,2024-05-30,cancelled
156,163,18,2022-11-20,cancelled
157,95,5,2022-08-31,cancelled
158,392,14,2022-03-02,completed
159,227,9,2023-09-14,completed
160,55,1,2023-01-20,pending
161,311,8,2023-07-01,returned
162,119,12,2023-04-21,completed
163,69,20,2024-09-03,completed
164,95,16,2024-02-05,completed
165,84,2,2022-10-09,completed
166,474,14,2022-01-31,completed
167,388,6,2023-02-20,completed
168,353,15,2024-09-30,completed
169,208,20,2024-05-25,cancelled
170,369,20,2024-02-19,cancelled
171,329,2,2024-12-11,returned
172,232,2,2022-08-12,completed
173,276,2,2024-11-28,returned
174,265,2,2024-03-04,completed
175,226,10,2023-08-20,pending
176,237,10,2023-08-09,returned
177,354,5,2022-04-22,completed
178,47,4,2024-07-14,completed
179,202,15,2022-10-05,completed
180,233,7,2023-01-02,completed
181,129,6,2022-07-04,cancelled
182,47,15,2022-09-11,cancelled
183,44,13,2024-01-14,cancelled
184,314,13,2024-11-13,returned
185,23,11,2024-02-19,returned
186,84,6,2022-11-04,pending
187,215,15,2022-04-16,completed
188,61,7,2023-01-06,completed
189,7,16,2023-06-03,returned
